Name,Body Part,Equipment,Intensity,Calories Burned (Man) 10min,Calories Burned (Woman) 10min
kettlebell alternating press,shoulders,kettlebell,high,69,56
kettlebell alternating press on floor,chest,kettlebell,high,71,58
kettlebell alternating renegade row,back,kettlebell,high,71,58
kettlebell alternating row,back,kettlebell,high,71,58
kettlebell arnold press,shoulders,kettlebell,high,69,56
kettlebell bent press,waist,kettlebell,light,27,22
kettlebell bottoms up clean from the hang position,upper arms,kettlebell,high,69,56
kettlebell double alternating hang clean,upper arms,kettlebell,high,69,56
kettlebell double jerk,shoulders,kettlebell,high,69,56
kettlebell double push press,shoulders,kettlebell,high,69,56
kettlebell double snatch,shoulders,kettlebell,high,69,56
kettlebell double windmill,waist,kettlebell,light,27,22
kettlebell extended range one arm press on floor,chest,kettlebell,high,71,58
kettlebell figure 8,waist,kettlebell,light,27,22
kettlebell front squat,upper legs,kettlebell,high,71,58
kettlebell goblet squat,upper legs,kettlebell,high,71,58
kettlebell hang clean,upper legs,kettlebell,high,71,58
kettlebell lunge pass through,upper legs,kettlebell,high,71,58
kettlebell one arm clean and jerk,shoulders,kettlebell,high,69,56
kettlebell one arm floor press,chest,kettlebell,high,71,58
kettlebell one arm jerk,shoulders,kettlebell,high,69,56
kettlebell one arm military press to the side,shoulders,kettlebell,high,69,56
kettlebell one arm push press,shoulders,kettlebell,high,69,56
kettlebell one arm row,back,kettlebell,high,71,58
kettlebell one arm snatch,shoulders,kettlebell,high,69,56
kettlebell pirate supper legs,shoulders,kettlebell,high,69,56
kettlebell pistol squat,upper legs,kettlebell,high,71,58
kettlebell plyo push-up,chest,kettlebell,high,71,58
kettlebell seated press,shoulders,kettlebell,high,69,56
kettlebell seated two arm military press,shoulders,kettlebell,high,69,56
kettlebell seesaw press,shoulders,kettlebell,high,69,56
kettlebell sumo high pull,back,kettlebell,high,71,58
kettlebell swing,upper legs,kettlebell,high,71,58
kettlebell thruster,shoulders,kettlebell,high,69,56
kettlebell turkish get up (squat style),upper legs,kettlebell,high,71,58
kettlebell two arm clean,shoulders,kettlebell,high,69,56
kettlebell two arm military press,shoulders,kettlebell,high,69,56
kettlebell two arm row,back,kettlebell,high,71,58
kettlebell windmill,waist,kettlebell,light,27,22
kick out sit,upper legs,body weight,moderate,51,42
kipping muscle up,back,body weight,high,75,61
knee touch crunch,waist,body weight,light,30,25
kneeling jump squat,upper legs,barbell,high,71,58
kneeling lat stretch,back,body weight,light,34,28
kneeling plank tap shoulder (male),waist,body weight,light,30,25
kneeling push-up (male),chest,body weight,high,75,61
korean dips,chest,body weight,high,75,61
l-pull-up,back,body weight,high,75,61
l-sit on floor,waist,body weight,light,30,25
landmine 180,waist,barbell,light,27,22
landmine lateral raise,shoulders,barbell,high,69,56
lean planche,waist,body weight,light,30,25
left hook. boxing,shoulders,body weight,high,72,59
leg pull in flat bench,waist,body weight,light,30,25
leg up hamstring stretch,upper legs,body weight,light,34,28
lever alternate leg press,upper legs,leverage machine,high,71,58
lever alternating narrow grip seated row,back,leverage machine,high,71,58
lever assisted chin-up,back,leverage machine,high,71,58
lever back extension,back,leverage machine,high,71,58
lever bent over row,back,barbell,high,71,58
lever bent-over row with v-bar,back,leverage machine,high,71,58
lever bicep curl,upper arms,leverage machine,high,69,56
lever calf press,lower legs,leverage machine,high,67,54
lever chest press,chest,leverage machine,high,71,58
lever chest press,chest,leverage machine,high,71,58
lever deadlift,upper legs,leverage machine,high,71,58
lever decline chest press,chest,leverage machine,high,71,58
lever donkey calf raise,lower legs,leverage machine,high,67,54
lever front pulldown,back,leverage machine,high,71,58
lever gripless shrug,back,leverage machine,high,71,58
lever gripless shrug v. 2,back,leverage machine,high,71,58
lever gripper hands,lower arms,leverage machine,high,64,52
lever hammer grip preacher curl,upper arms,leverage machine,high,69,56
lever high row,back,leverage machine,high,71,58
lever hip extension v. 2,upper legs,leverage machine,high,71,58
lever horizontal one leg press,upper legs,leverage machine,high,71,58
lever incline chest press,chest,leverage machine,high,71,58
lever incline chest press v. 2,chest,leverage machine,high,71,58
lever kneeling leg curl,upper legs,leverage machine,high,71,58
lever kneeling twist,waist,leverage machine,light,27,22
lever lateral raise,shoulders,leverage machine,high,69,56
lever leg extension,upper legs,leverage machine,high,71,58
lever lying leg curl,upper legs,leverage machine,high,71,58
lever lying two-one leg curl,upper legs,leverage machine,high,71,58
lever military press,shoulders,leverage machine,high,69,56
lever narrow grip seated row,back,leverage machine,high,71,58
lever one arm bent over row,back,barbell,high,71,58
lever one arm lateral high row,back,leverage machine,high,71,58
lever one arm lateral wide pulldown,back,leverage machine,high,71,58
lever one arm shoulder press,shoulders,leverage machine,high,69,56
lever overhand triceps dip,upper arms,leverage machine,high,69,56
lever preacher curl,upper arms,leverage machine,high,69,56
lever preacher curl v. 2,upper arms,leverage machine,high,69,56
lever pullover,back,leverage machine,high,71,58
lever reverse grip lateral pulldown,back,leverage machine,high,71,58
lever reverse grip preacher curl,upper arms,leverage machine,high,69,56
lever reverse grip vertical row,back,leverage machine,high,71,58
lever reverse hyperextension,upper legs,leverage machine,high,71,58
lever reverse t-bar row,back,leverage machine,high,71,58
lever rotary calf,lower legs,leverage machine,high,67,54
lever seated calf press,lower legs,leverage machine,high,67,54
lever seated calf raise,lower legs,leverage machine,high,67,54
lever seated crunch,waist,leverage machine,light,27,22
lever seated crunch (chest pad),waist,leverage machine,light,27,22
lever seated crunch v. 2,waist,leverage machine,light,27,22
lever seated dip,upper arms,leverage machine,high,69,56
lever seated fly,chest,leverage machine,high,71,58
lever seated good morning,upper legs,leverage machine,high,71,58
lever seated hip abduction,upper legs,leverage machine,high,71,58
lever seated hip adduction,upper legs,leverage machine,high,71,58
lever seated leg curl,upper legs,leverage machine,high,71,58
lever seated leg raise crunch,waist,leverage machine,light,27,22
lever seated reverse fly,shoulders,leverage machine,high,69,56
lever seated reverse fly (parallel grip),shoulders,leverage machine,high,69,56
lever seated row,back,leverage machine,high,71,58
lever seated squat calf raise on leg press machine,lower legs,leverage machine,high,67,54
lever shoulder press,shoulders,leverage machine,high,69,56
lever shoulder press v. 2,shoulders,leverage machine,high,69,56
lever shoulder press v. 3,shoulders,leverage machine,high,69,56
lever shrug,back,leverage machine,high,71,58
lever standing calf raise,lower legs,leverage machine,high,67,54
lever standing chest press,chest,leverage machine,high,71,58
lever t bar row,back,leverage machine,high,71,58
lever t-bar reverse grip row,back,leverage machine,high,71,58
lever triceps extension,upper arms,leverage machine,high,69,56
lever unilateral row,back,leverage machine,high,71,58
london bridge,back,rope,high,71,58
low glute bridge on floor,upper legs,body weight,moderate,51,42
lower back curl,back,body weight,high,75,61
lunge with jump,upper legs,body weight,moderate,51,42
lunge with twist,waist,body weight,light,30,25
lying (side) quads stretch,upper legs,body weight,light,34,28
lying elbow to knee,waist,body weight,light,30,25
lying leg raise flat bench,waist,body weight,light,30,25
lying leg-hip raise,waist,body weight,light,30,25
machine inner chest press,chest,leverage machine,high,71,58
march sit (wall),upper legs,body weight,moderate,51,42
medicine ball catch and overhead throw,back,medicine ball,high,71,58
medicine ball chest pass,chest,medicine ball,high,71,58
medicine ball chest push from 3 point stance,chest,medicine ball,high,71,58
medicine ball chest push multiple response,chest,medicine ball,high,71,58
medicine ball chest push single response,chest,medicine ball,high,71,58
medicine ball chest push with run release,chest,medicine ball,high,71,58
medicine ball close grip push up,upper arms,medicine ball,high,69,56
medicine ball overhead slam,back,medicine ball,high,71,58
medicine ball supine chest throw,upper arms,medicine ball,high,69,56
mixed grip chin-up,back,body weight,high,75,61
modified hindu push-up (male),chest,body weight,high,75,61
modified push up to lower arms,lower arms,body weight,high,68,55
monster walk,upper legs,body weight,moderate,51,42
mountain climber,cardio,body weight,high,68,55
muscle up,back,body weight,high,75,61
muscle-up (on vertical bar),back,body weight,high,75,61
narrow push-up on exercise ball,upper arms,stability ball,high,69,56
neck side stretch,neck,body weight,light,29,24
negative crunch,waist,body weight,light,30,25
oblique crunch v. 2,waist,body weight,light,30,25
oblique crunches floor,waist,body weight,light,30,25
olympic barbell hammer curl,upper arms,olympic barbell,high,69,56
olympic barbell triceps extension,upper arms,olympic barbell,high,69,56
one arm against wall,back,body weight,high,75,61
one arm chin-up,back,body weight,high,75,61
one arm dip,upper arms,body weight,high,72,59
one arm slam (with medicine ball),waist,medicine ball,light,27,22
one arm towel row,back,body weight,high,75,61
one leg donkey calf raise,lower legs,body weight,moderate,47,38
one leg floor calf raise,lower legs,body weight,moderate,47,38
one leg squat,upper legs,body weight,moderate,51,42
otis up,waist,weighted,light,27,22
outside leg kick push-up,upper legs,body weight,moderate,51,42
overhead triceps stretch,upper arms,body weight,light,31,26
pelvic tilt,waist,body weight,light,30,25
pelvic tilt into bridge,upper legs,body weight,moderate,51,42
peroneals stretch,lower legs,rope,light,26,21
pike-to-cobra push-up,upper legs,body weight,moderate,51,42
plyo push up,chest,body weight,high,75,61
posterior step to overhead reach,waist,body weight,light,30,25
posterior tibialis stretch,lower legs,rope,light,26,21
potty squat,waist,body weight,light,30,25
potty squat with support,upper legs,body weight,moderate,51,42
power clean,upper legs,barbell,high,71,58
power point plank,waist,body weight,light,30,25
prisoner half sit-up (male),waist,body weight,light,30,25
prone twist on stability ball,waist,stability ball,light,27,22
pull up (neutral grip),back,body weight,high,75,61
pull-in (on stability ball),waist,stability ball,light,27,22
pull-up,back,body weight,high,75,61
push and pull bodyweight,chest,body weight,high,75,61
push to run,cardio,body weight,high,68,55
push up on bosu ball,chest,bosu ball,high,71,58
push-up,chest,body weight,high,75,61
push-up (bosu ball),chest,bosu ball,high,71,58
push-up (on stability ball),chest,stability ball,high,71,58
push-up (on stability ball),chest,stability ball,high,71,58
push-up (wall),chest,body weight,high,75,61
push-up (wall) v. 2,chest,body weight,high,75,61
push-up close-grip off dumbbell,upper arms,dumbbell,high,69,56
push-up inside leg kick,upper legs,body weight,moderate,51,42
push-up medicine ball,chest,medicine ball,high,71,58
push-up on lower arms,upper arms,body weight,high,72,59
push-up plus,chest,body weight,high,75,61
push-up to side plank,waist,body weight,light,30,25
quads,upper legs,body weight,moderate,51,42
quarter sit-up,waist,body weight,light,30,25
quick feet v. 2,upper legs,body weight,moderate,51,42
raise single arm push-up,chest,body weight,high,75,61
rear decline bridge,upper legs,body weight,moderate,51,42
rear deltoid stretch,shoulders,body weight,light,31,26
rear pull-up,back,body weight,high,75,61
reclining big toe pose with rope,upper legs,rope,high,71,58
resistance band hip thrusts on knees (female),upper legs,resistance band,high,71,58
resistance band leg extension,upper legs,resistance band,high,71,58
resistance band seated biceps curl,upper arms,resistance band,high,69,56
resistance band seated chest press,chest,resistance band,high,71,58
resistance band seated hip abduction,upper legs,resistance band,high,71,58
resistance band seated shoulder press,shoulders,resistance band,high,69,56
resistance band seated straight back row,back,resistance band,high,71,58
reverse crunch,waist,body weight,light,30,25
reverse dip,upper arms,body weight,high,72,59
reverse grip machine lat pulldown,back,leverage machine,high,71,58
reverse grip pull-up,back,body weight,high,75,61
reverse hyper extension (on stability ball),upper legs,stability ball,high,71,58
reverse hyper on flat bench,upper legs,body weight,moderate,51,42
reverse plank with leg lift,waist,body weight,light,30,25
ring dips,upper arms,body weight,high,72,59
rocking frog stretch,upper legs,body weight,light,34,28
rocky pull-up pulldown,back,body weight,high,75,61
roller back stretch,back,roller,light,30,25
roller body saw,waist,roller,light,27,22
roller hip lat stretch,upper legs,roller,light,30,25
roller hip stretch,upper legs,roller,light,30,25
roller reverse crunch,waist,roller,light,27,22
roller seated shoulder flexor depresor retractor,chest,roller,high,71,58
roller seated single leg shoulder flexor depresor retractor,chest,roller,high,71,58
roller side lat stretch,back,roller,light,30,25
rope climb,back,rope,high,71,58
run,cardio,body weight,high,68,55
run (equipment),cardio,body weight,high,68,55
runners stretch,upper legs,body weight,light,34,28
russian twist,waist,body weight,light,30,25
scapula dips,back,body weight,high,75,61
scapula push-up,chest,body weight,high,75,61
scapular pull-up,back,body weight,high,75,61
scissor jumps (male),cardio,body weight,high,68,55
seated calf stretch (male),lower legs,body weight,light,29,24
seated glute stretch,upper legs,body weight,light,34,28
seated leg raise,waist,body weight,light,30,25
seated lower back stretch,back,body weight,light,34,28
seated piriformis stretch,upper legs,body weight,light,34,28
seated side crunch (wall),waist,body weight,light,30,25
seated wide angle pose sequence,upper legs,body weight,moderate,51,42
self assisted inverse leg curl,upper legs,body weight,moderate,51,42
self assisted inverse leg curl,upper legs,body weight,moderate,51,42
self assisted inverse leg curl (on floor),upper legs,body weight,moderate,51,42
semi squat jump (male),cardio,body weight,high,68,55
short stride run,cardio,body weight,high,68,55
shoulder grip pull-up,back,body weight,high,75,61
shoulder tap,waist,body weight,light,30,25
shoulder tap push-up,chest,body weight,high,75,61
side bridge hip abduction,upper legs,body weight,moderate,51,42
side bridge v. 2,waist,body weight,light,30,25
side hip (on parallel bars),waist,body weight,light,30,25
side hip abduction,upper legs,body weight,moderate,51,42
side lying floor stretch,back,body weight,light,34,28
side lying hip adduction (male),upper legs,body weight,moderate,51,42
side plank hip adduction,upper legs,body weight,moderate,51,42
side push neck stretch,neck,body weight,light,29,24
side push-up,upper arms,body weight,high,72,59
side wrist pull stretch,lower arms,body weight,light,27,22
side-to-side chin,back,body weight,high,75,61
side-to-side toe touch (male),waist,body weight,light,30,25
single arm push-up,chest,body weight,high,75,61
single leg bridge with outstretched leg,upper legs,body weight,light,34,28
single leg calf raise (on a dumbbell),lower legs,dumbbell,high,67,54
single leg platform slide,upper legs,body weight,moderate,51,42
single leg squat (pistol) male,upper legs,body weight,moderate,51,42
sissy squat,upper legs,body weight,moderate,51,42
sit-up v. 2,waist,body weight,light,30,25
sit-up with arms on chest,waist,body weight,light,30,25
skater hops,cardio,body weight,high,68,55
ski ergometer,upper arms,skierg machine,high,69,56
ski step,cardio,body weight,high,68,55
skin the cat,back,body weight,high,75,61
sled 45 degrees one leg press,upper legs,sled machine,high,71,58
sled 45Ð²Â° calf press,lower legs,sled machine,high,67,54
sled 45Ð²Â° leg press,upper legs,sled machine,high,71,58
sled 45Ð²Â° leg press (back pov),upper legs,sled machine,high,71,58
sled 45Â° leg press (side pov),upper legs,sled machine,high,71,58
sled 45Ð²Â° leg wide press,upper legs,sled machine,high,71,58
sled calf press on leg press,lower legs,sled machine,high,67,54
sled closer hack squat,upper legs,sled machine,high,71,58
sled forward angled calf raise,lower legs,sled machine,high,67,54
sled hack squat,upper legs,sled machine,high,71,58
sled lying calf press,lower legs,sled machine,high,67,54
sled lying squat,upper legs,sled machine,high,71,58
sled one leg calf press on leg press,lower legs,sled machine,high,67,54
sledge hammer,waist,hammer,light,27,22
smith back shrug,back,smith machine,high,71,58
smith behind neck press,shoulders,smith machine,high,69,56
smith bench press,chest,smith machine,high,71,58
smith bent knee good morning,upper legs,smith machine,high,71,58
smith bent over row,back,smith machine,high,71,58
smith chair squat,upper legs,smith machine,high,71,58
smith close-grip bench press,upper arms,smith machine,high,69,56
smith deadlift,upper legs,smith machine,high,71,58
smith decline bench press,chest,smith machine,high,71,58
smith decline reverse-grip press,chest,smith machine,high,71,58
smith front squat (clean grip),upper legs,smith machine,high,71,58
smith full squat,upper legs,smith machine,high,71,58
smith hack squat,upper legs,smith machine,high,71,58
smith hip raise,waist,smith machine,light,27,22
smith incline bench press,chest,smith machine,high,71,58
smith incline reverse-grip press,chest,smith machine,high,71,58
smith incline shoulder raises,chest,smith machine,high,71,58
smith leg press,upper legs,smith machine,high,71,58
smith low bar squat,upper legs,smith machine,high,71,58
smith machine bicep curl,upper arms,smith machine,high,69,56
smith machine decline close grip bench press,upper arms,smith machine,high,69,56
smith machine incline tricep extension,upper arms,smith machine,high,69,56
smith machine reverse decline close grip bench press,chest,smith machine,high,71,58
smith narrow row,back,smith machine,high,71,58
smith one arm row,back,smith machine,high,71,58
smith one leg floor calf raise,lower legs,smith machine,high,67,54
smith rear delt row,shoulders,smith machine,high,69,56
smith reverse calf raises,lower legs,smith machine,high,67,54
smith reverse calf raises,lower legs,smith machine,high,67,54
smith reverse grip bent over row,back,smith machine,high,71,58
smith reverse-grip press,chest,smith machine,high,71,58
smith seated one leg calf raise,lower legs,smith machine,high,67,54
smith seated shoulder press,shoulders,smith machine,high,69,56
smith seated wrist curl,lower arms,smith machine,high,64,52
smith shoulder press,shoulders,smith machine,high,69,56
smith shrug,back,smith machine,high,71,58
smith single leg split squat,upper legs,smith machine,high,71,58
smith sprint lunge,upper legs,smith machine,high,71,58
smith squat,upper legs,smith machine,high,71,58
smith standing back wrist curl,lower arms,smith machine,high,64,52
smith standing behind head military press,shoulders,smith machine,high,69,56
smith standing leg calf raise,lower legs,smith machine,high,67,54
smith standing military press,shoulders,smith machine,high,69,56
smith sumo squat,upper legs,smith machine,high,71,58
smith toe raise,lower legs,smith machine,high,67,54
smith upright row,shoulders,smith machine,high,69,56
smith wide grip bench press,chest,smith machine,high,71,58
smith wide grip decline bench press,chest,smith machine,high,71,58
snatch pull,upper legs,barbell,high,71,58
spell caster,waist,dumbbell,light,27,22
sphinx,back,body weight,high,75,61
spider crawl push up,upper legs,body weight,moderate,51,42
spine stretch,back,body weight,light,34,28
spine twist,waist,body weight,light,30,25
split squats,upper legs,body weight,moderate,51,42
squat jerk,upper legs,barbell,high,71,58
squat on bosu ball,upper legs,bosu ball,high,71,58
squat to overhead reach,upper legs,body weight,moderate,51,42
squat to overhead reach with twist,upper legs,body weight,moderate,51,42
stability ball crunch (full range hands behind head),waist,stability ball,light,27,22
stalder press,upper arms,body weight,high,72,59
standing archer,back,body weight,high,75,61
standing behind neck press,shoulders,barbell,high,69,56
standing calf raise (on a staircase),lower legs,body weight,moderate,47,38
standing calves,lower legs,body weight,moderate,47,38
standing calves calf stretch,lower legs,body weight,light,29,24
standing hamstring and calf stretch with strap,upper legs,rope,light,30,25
standing lateral stretch,back,body weight,light,34,28
standing pelvic tilt,back,body weight,high,75,61
standing single leg curl,upper legs,body weight,moderate,51,42
standing wheel rollerout,waist,wheel roller,light,27,22
star jump (male),cardio,body weight,high,68,55
stationary bike run v. 3,cardio,stationary bike,high,64,52
stationary bike walk,cardio,leverage machine,high,64,52
straddle maltese,waist,body weight,light,30,25
straddle planche,waist,body weight,light,30,25
straight leg outer hip abductor,upper legs,body weight,moderate,51,42
superman push-up,chest,body weight,high,75,61
suspended abdominal fallout,waist,body weight,light,30,25
suspended push-up,chest,body weight,high,75,61
suspended reverse crunch,waist,body weight,light,30,25
suspended row,back,body weight,high,75,61
suspended split squat,upper legs,body weight,moderate,51,42
swimmer kicks v. 2 (male),upper legs,body weight,moderate,51,42
swing 360,cardio,body weight,high,68,55
three bench dip,upper arms,body weight,high,72,59
tire flip,upper legs,tire,high,71,58
trap bar deadlift,upper legs,trap bar,high,71,58
triceps dip,upper arms,body weight,high,72,59
triceps dip (bench leg),upper arms,body weight,high,72,59
triceps dip (between benches),upper arms,body weight,high,72,59
triceps dips floor,upper arms,body weight,high,72,59
triceps press,upper arms,body weight,high,72,59
triceps stretch,upper arms,body weight,light,31,26
tuck crunch,waist,body weight,light,30,25
twin handle parallel grip lat pulldown,back,cable,high,77,63
twist hip lift,upper legs,body weight,moderate,51,42
twisted leg raise,waist,body weight,light,30,25
twisted leg raise (female),waist,body weight,light,30,25
two toe touch (male),back,body weight,high,75,61
upper back stretch,back,body weight,light,34,28
upward facing dog,back,body weight,high,75,61
v-sit on floor,waist,body weight,light,30,25
vertical leg raise (on parallel bars),waist,body weight,light,30,25
walk elliptical cross trainer,cardio,elliptical machine,high,64,52
walking high knees lunge,cardio,body weight,high,68,55
walking lunge,upper legs,body weight,moderate,51,42
walking on incline treadmill,cardio,leverage machine,high,64,52
walking on stepmill,cardio,stepmill machine,high,64,52
weighted bench dip,upper arms,weighted,high,69,56
weighted close grip chin-up on dip cage,back,weighted,high,71,58
weighted cossack squats (male),upper legs,weighted,high,71,58
weighted crunch,waist,weighted,light,27,22
weighted decline sit-up,waist,weighted,light,27,22
weighted donkey calf raise,lower legs,weighted,high,67,54
weighted drop push up,chest,weighted,high,71,58
weighted front plank,waist,weighted,light,27,22
weighted front raise,shoulders,weighted,high,69,56
weighted hanging leg-hip raise,waist,weighted,light,27,22
weighted hyperextension (on stability ball),back,weighted,high,71,58
weighted kneeling step with swing,shoulders,weighted,high,69,56
weighted lunge with swing,upper legs,weighted,high,71,58
weighted muscle up,back,weighted,high,71,58
weighted muscle up (on bar),back,weighted,high,71,58
weighted one hand pull up,back,weighted,high,71,58
weighted overhead crunch (on stability ball),waist,weighted,light,27,22
weighted pull-up,back,weighted,high,71,58
weighted round arm,shoulders,weighted,high,69,56
weighted russian twist,waist,weighted,light,27,22
weighted russian twist (legs up),waist,weighted,light,27,22
weighted russian twist v. 2,waist,weighted,light,27,22
weighted seated bicep curl (on stability ball),upper arms,medicine ball,high,69,56
weighted seated twist (on stability ball),waist,weighted,light,27,22
weighted side bend (on stability ball),waist,weighted,light,27,22
weighted sissy squat,upper legs,weighted,high,71,58
weighted squat,upper legs,weighted,high,71,58
weighted standing curl,upper arms,weighted,high,69,56
weighted standing hand squeeze,lower arms,weighted,high,64,52
weighted straight bar dip,chest,weighted,high,71,58
weighted stretch lunge,upper legs,weighted,light,30,25
weighted svend press,chest,weighted,high,71,58
weighted three bench dips,upper arms,weighted,high,69,56
weighted tricep dips,upper arms,weighted,high,69,56
weighted triceps dip on high parallel bars,upper arms,weighted,high,69,56
wheel rollerout,waist,wheel roller,light,27,22
wheel run,cardio,body weight,high,68,55
wide grip pull-up,back,body weight,high,75,61
wide grip rear pull-up,back,body weight,high,75,61
wide hand push up,chest,body weight,high,75,61
wide-grip chest dip on high parallel bars,chest,body weight,high,75,61
wind sprints,waist,body weight,light,30,25
world greatest stretch,upper legs,body weight,light,34,28
wrist circles,lower arms,body weight,high,68,55
wrist rollerer,lower arms,weighted,high,64,52
